,Shoes Name,Price,Rating
0,Rider-01 White Running Shoes for Men I Sport Shoes for Boys with Beads Technology Sole for Extra Jump I Memory Foam Insole Running Shoes For Men  (White),₹951,4
1,"Innova-01 White Sports,Walking,Training, Running Shoes For Men  (White)",₹899,4
2,Lightweight Pack Of 1 Trendy Sneakers Sneakers For Men  (Black),₹143,3.8
3,"Fit-Man Slip On Sneakers For Men  (Red, Black)",₹143,3.8
4,Sneakers For Men  (White),₹319,3.7
5,Latest Collection-1215 Stylish Casual Sports Sneakers For Men  (Grey),₹143,3.9
6,Casual Sneakers For Men  (White),₹239,3.6
7,"Combo Pack of 2 Sports Shoes Running Shoes For Men Running Shoes For Men  (Black, Green)",₹399,3.9
8,"Casuals, Canvas, Partywear Sneakers For Men  (White)",₹342,3.8
9,"Modern Trendy Sneakers Shoes Sneakers For Men  (Orange, Grey)",₹191,3.8
10,SOCKS Running Shoes For Men  (Grey),₹239,4.1
11,Hustle V2 Running Shoes For Men  (White),"₹1,498",4.2
12,Revolution 5 Running Shoes For Men  (Black),"₹3,595",4.2
13,NK Revolution 5 Men's Road Running Shoes Running Shoes For Men  (Black),"₹3,595",4.4
14,"Stylish and Trendy New Design Lightweight, Breathable Walking Sport Shoe Running Shoes For Men  (Black)",₹255,3.8
15,Zod Runner V3 Running Shoes For Men  (Black),"₹1,299",4.1
16,Boss-Ace Lace Up For Men  (Black),₹449,4.3
17,"Sneakers For Men  (Navy, White)","₹1,399",4.2
18,Canvas Shoes For Men  (White),₹223,3.8
19,REE FUSION Running Shoes For Men  (Black),₹834,4.4
20,Lattest Sneakers Shoe Sneakers For Men  (Black),₹195,3.8
21,Casuals For Men  (White),₹263,3.9
22,Casuals For Men  (Brown),"₹2,177",4.8
23,"Crystal-13 Blue Sports Transparent Sole Technology Running Shoes For Men  (White, Blue)","₹1,215",4
24,CLARKIN Corporate Casuals For Men  (Off White),"₹1,249",4.2
25,Outdoor Shoe For Men  (Brown),"₹2,237",4.3
26,Premium Sports Shoes for Men Running Shoes For Men  (Grey),₹279,3.8
27,Sneakers For Men  (Grey),₹392,4.1
28,Running Shoes For Men  (Black),₹159,3.8
29,MIKE (N) Running Shoes For Men  (Blue),₹856,4.1
30,Revolution 5 Running Shoes For Men  (Black),"₹2,856",4.2
31,"Asian Hattrick-21 sports shoes for men | Latest Stylish Casual sneakers for men | running shoes for boys | Lace up lightweight grey shoes for running, walking, gym, trekking, hiking & party For Men  (Grey, Green)",₹636,4
32,Walking Shoes For Men  (Blue),"₹1,351",NaN
33,Lace Up For Men  (Black),₹449,4.3
34,Loafers For Men  (Blue),₹183,4
35,FIRST Running Shoes For Men  (White),"₹1,199",4.1
36,Casuals For Men  (Blue),₹239,3.8
37,"Sneakers For Men  (White, Black)",₹318,3.9
38,Fashion and Stylish Soft Ultralight Lace Up Sneakers Causal Shoes For Men Sneakers For Men  (Grey),₹239,3.8
39,"Combo Pack of 2 Sports Shoes Running Shoes For Men Running Shoes For Men  (Black, Gold)",₹399,NaN
